0	1
0	2
0	3
0	4
0	6
0	9
0	34
0	38
0	59
0	60
0	61
0	62
0	63
1	0
1	2
1	3
1	4
1	5
1	6
1	8
1	10
1	18
1	24
1	29
1	40
1	51
1	56
1	64
1	65
1	66
1	67
1	68
1	69
2	0
2	1
2	3
2	4
2	5
2	7
2	8
2	9
2	13
2	15
2	19
2	24
2	28
2	37
2	39
2	49
2	54
2	61
2	70
2	71
3	0
3	1
3	2
3	6
3	7
3	8
3	10
3	13
3	14
3	17
3	20
3	21
3	22
3	25
3	26
3	29
3	31
3	32
3	34
3	37
3	38
3	39
3	41
3	44
3	50
3	52
3	56
3	58
3	64
3	65
3	72
3	73
3	74
3	75
3	76
3	77
4	0
4	1
4	2
4	5
4	11
4	19
4	22
4	41
4	53
4	78
4	79
4	80
5	1
5	2
5	4
5	7
5	15
5	16
5	20
5	23
5	35
5	37
5	70
5	81
6	0
6	1
6	3
6	9
6	13
6	21
7	2
7	3
7	5
7	12
7	30
7	40
7	41
7	48
7	60
7	72
7	82
8	1
8	2
8	3
8	10
8	11
8	15
8	16
8	18
8	27
8	35
8	43
8	46
8	50
8	66
8	69
8	83
9	0
9	2
9	6
9	16
9	25
9	29
9	36
9	54
10	1
10	3
10	8
10	11
10	12
10	14
10	17
10	20
10	23
10	30
10	32
10	45
10	80
10	82
10	84
11	4
11	8
11	10
11	12
11	22
11	23
11	25
11	33
11	36
11	50
11	85
11	86
11	87
12	7
12	10
12	11
12	14
12	17
12	18
12	55
12	66
12	72
12	88
12	89
12	90
13	2
13	3
13	6
13	30
13	43
13	47
13	57
13	61
13	79
13	87
14	3
14	10
14	12
14	21
14	24
14	32
14	44
14	55
14	71
14	76
14	85
14	88
14	91
14	92
15	2
15	5
15	8
15	19
15	28
15	68
15	92
16	5
16	8
16	9
16	27
16	31
16	46
16	70
16	85
16	86
17	3
17	10
17	12
17	26
18	1
18	8
18	12
18	42
18	78
19	2
19	4
19	15
19	47
19	65
19	93
20	3
20	5
20	10
20	33
20	60
20	86
20	92
21	3
21	6
21	14
21	26
21	94
22	3
22	4
22	11
22	31
22	49
22	75
23	5
23	10
23	11
23	28
23	57
23	95
24	1
24	2
24	14
24	36
24	38
24	44
25	3
25	9
25	11
25	27
25	34
25	62
25	63
25	81
25	96
26	3
26	17
26	21
26	42
26	47
26	53
26	87
26	94
26	97
27	8
27	16
27	25
27	82
28	2
28	15
28	23
28	64
28	76
28	98
29	1
29	3
29	9
29	73
30	7
30	10
30	13
30	39
30	40
30	45
30	48
30	71
31	3
31	16
31	22
31	33
31	59
31	74
32	3
32	10
32	14
32	42
32	54
32	77
32	83
32	90
33	11
33	20
33	31
33	62
34	0
34	3
34	25
34	35
34	89
35	5
35	8
35	34
35	84
35	95
36	9
36	11
36	24
36	45
36	46
37	2
37	3
37	5
37	48
37	49
37	78
38	0
38	3
38	24
38	43
38	93
39	2
39	3
39	30
39	88
39	91
40	1
40	7
40	30
40	55
40	73
40	83
40	98
40	99
41	3
41	4
41	7
41	79
41	89
41	93
42	18
42	26
42	32
42	51
43	8
43	13
43	38
43	80
43	91
43	96
44	3
44	14
44	24
44	52
44	84
45	10
45	30
45	36
45	99
46	8
46	16
46	36
46	52
46	68
47	13
47	19
47	26
47	51
47	99
48	7
48	30
48	37
48	74
49	2
49	22
49	37
49	97
50	3
50	8
50	11
50	53
50	57
51	1
51	42
51	47
51	58
51	67
52	3
52	44
52	46
52	56
52	58
52	94
53	4
53	26
53	50
53	81
53	98
54	2
54	9
54	32
54	95
55	12
55	14
55	40
55	63
55	75
56	1
56	3
56	52
56	67
56	77
56	96
56	97
57	13
57	23
57	50
57	90
58	3
58	51
58	52
58	59
59	0
59	31
59	58
59	69
60	0
60	7
60	20
61	0
61	2
61	13
62	0
62	25
62	33
63	0
63	25
63	55
64	1
64	3
64	28
65	1
65	3
65	19
66	1
66	8
66	12
67	1
67	51
67	56
68	1
68	15
68	46
69	1
69	8
69	59
70	2
70	5
70	16
71	2
71	14
71	30
72	3
72	7
72	12
73	3
73	29
73	40
74	3
74	31
74	48
75	3
75	22
75	55
76	3
76	14
76	28
77	3
77	32
77	56
78	4
78	18
78	37
79	4
79	13
79	41
80	4
80	10
80	43
81	5
81	25
81	53
82	7
82	10
82	27
83	8
83	32
83	40
84	10
84	35
84	44
85	11
85	14
85	16
86	11
86	16
86	20
87	11
87	13
87	26
88	12
88	14
88	39
89	12
89	34
89	41
90	12
90	32
90	57
91	14
91	39
91	43
92	14
92	15
92	20
93	19
93	38
93	41
94	21
94	26
94	52
95	23
95	35
95	54
96	25
96	43
96	56
97	26
97	49
97	56
98	28
98	40
98	53
99	40
99	45
99	47
