0	1	46
0	2	89
0	3	6
0	4	56
0	6	97
0	9	4
0	34	22
0	38	44
0	59	19
0	60	70
0	61	25
0	62	62
0	63	92
1	0	46
1	2	93
1	3	27
1	4	57
1	5	23
1	6	81
1	8	68
1	10	13
1	18	93
1	24	86
1	29	84
1	40	36
1	51	9
1	56	79
1	64	15
1	65	1
1	66	66
1	67	17
1	68	67
1	69	60
2	0	89
2	1	93
2	3	85
2	4	79
2	5	18
2	7	62
2	8	70
2	9	57
2	13	86
2	15	70
2	19	63
2	24	35
2	28	33
2	37	57
2	39	92
2	49	86
2	54	34
2	61	98
2	70	63
2	71	42
3	0	6
3	1	27
3	2	85
3	6	23
3	7	21
3	8	9
3	10	43
3	13	5
3	14	52
3	17	12
3	20	66
3	21	40
3	22	50
3	25	72
3	26	42
3	29	41
3	31	68
3	32	43
3	34	1
3	37	12
3	38	35
3	39	85
3	41	28
3	44	34
3	50	34
3	52	30
3	56	51
3	58	54
3	64	78
3	65	72
3	72	4
3	73	51
3	74	16
3	75	77
3	76	36
3	77	69
4	0	56
4	1	57
4	2	79
4	5	68
4	11	33
4	19	52
4	22	15
4	41	88
4	53	91
4	78	61
4	79	33
4	80	27
5	1	23
5	2	18
5	4	68
5	7	82
5	15	89
5	16	49
5	20	90
5	23	45
5	35	48
5	37	41
5	70	15
5	81	4
6	0	97
6	1	81
6	3	23
6	9	53
6	13	71
6	21	88
7	2	62
7	3	21
7	5	82
7	12	72
7	30	99
7	40	65
7	41	23
7	48	76
7	60	14
7	72	23
7	82	8
8	1	68
8	2	70
8	3	9
8	10	56
8	11	39
8	15	72
8	16	69
8	18	94
8	27	52
8	35	62
8	43	11
8	46	1
8	50	6
8	66	84
8	69	84
8	83	46
9	0	4
9	2	57
9	6	53
9	16	82
9	25	89
9	29	86
9	36	90
9	54	7
10	1	13
10	3	43
10	8	56
10	11	81
10	12	86
10	14	68
10	17	59
10	20	83
10	23	6
10	30	20
10	32	8
10	45	64
10	80	41
10	82	35
10	84	32
11	4	33
11	8	39
11	10	81
11	12	44
11	22	39
11	23	63
11	25	73
11	33	25
11	36	57
11	50	92
11	85	26
11	86	46
11	87	37
12	7	72
12	10	86
12	11	44
12	14	49
12	17	36
12	18	90
12	55	18
12	66	74
